7.3	291.7
8.17	286.17
8	295.75
9	300
10.1	281.2
11.21	303.71
12.21	287
12	292.5
12	296.5
13.21	278
14.33	308
15.21	300
15	304.5
16.21	283
16	288.5
16	292.5
16	295.5
17.21	274.29
17	279
18	309.63
19.33	300.33
18.83	304.67
20.21	284.29
20	289.75
20	293.75
20	297
21.21	271.57
21	277
21	280
22	310.94
23.21	302.57
23	307
24.33	285.67
24	290.5
24	294.5
23.83	298
25.21	269.57
25	275
25	279
25	282
26	311.38
27.21	304.57
27	309
28.33	287.67
28	292.5
28	296.5
27.83	300
29.21	267.57
29	273
29	277
29	281
29	283.5
30	311.42
31.33	306.33
32	292
32	296
32	300
32	303.5
33.33	265.67
33	270.5
33	274.5
33	278.13
32	280.75
34	309.5
36	293
36	297
36	301
36.3	305.6
37.3	263.4
37	267.75
37	271.75
36.79	276.36
38.17	307.67
40.33	292.33
40	297.25
40	301.25
40	304.88
41.33	262.67
41	267.5
41	271.5
40.67	276
44	279.75
44.21	289.86
44	295.25
44	299.25
44	302.75
42.5	304.5
45.3	260.4
45	264.75
45	268.75
45	272.75
45	276.75
46.33	284.67
48.33	291.67
48	296.5
47.67	300.5
49.21	259.86
49	265.25
49	269.25
49	273.25
49	277.25
49	281.25
50.3	286.4
52.33	291.17
52	296.13
50.5	298
53.3	257.4
53	261.75
53	265.75
53	269.75
53	273.75
53	277.75
53	281.75
54.3	286
56.21	292.71
54.5	295.5
57.21	256.86
57	262.25
57	266.25
57	270.25
57	274.25
57	278.25
57	282.25
58.3	287.4
59.7	291.4
61.3	254.4
61	258.75
61	262.75
61	266.75
61	270.75
61	274.75
61	278.75
61	282.75
62.3	286.9
65.21	253.86
65	259.25
65	263.25
65	267.25
65	271.25
65	275.25
65	279.25
65	283.25
66	286.88
69.33	251.67
69	256.5
69	260.5
69	264.5
69	268.5
69	272.5
69	276.5
69	280.5
68.5	284
73.21	250.57
73	256
73	260
73	264
73	268
73	272
73	276
73	279.75
71.5	282
77.33	248.67
77	253.5
77	257.5
77	261.5
77	265.5
77	269.5
77	273.5
76.67	277.58
81.33	246.67
81	251.5
81	255.5
81	259.5
81	263.5
81	267.5
81	271.5
80.3	275.3
85.3	244.4
85	248.75
85	252.75
85	256.75
85	260.75
85	264.75
85	268.63
84.5	271.83
89.21	243.57
89	249
89	253
89	257
89	261
89	265
88.7	268.7
93.21	241.86
93	247.25
93	251.25
93	255.25
93	259.25
93	263.25
92.25	266.5
97.33	239.67
97	244.5
97	248.5
97	252.5
97	256.5
97	260.5
95.83	263.83
101.33	237.67
101	242.5
101	246.5
101	250.5
