812.83	384
814.5	404.17
817.5	366.21
818.5	415.3
826.5	356.36
824	427.08
829.5	437.5
837.5	350.86
836	448.13
845	460.25
848.5	352.77
854	471.56
859.5	358.59
863	481.25
869	367.31
873	492.35
877	377.31
883.5	503.59
886.5	385.95
893	514.06
896.5	393.44
902.5	521.95
905	405.19
913	531.1
914.5	415.5
923.5	542.09
923.5	423.14
932.5	434.27
934.5	552.41
942.5	442.28
945.5	562.82
952.5	453.59
956.5	573
963.5	463
966.5	582.39
974.5	471.05
976.5	592.68
985	481.5
986	601.06
995	490.85
995.5	610.09
1005.5	502.36
1006.5	619.95
1015.5	509.89
1017	629.4
1025.5	520.59
1026.5	639.67
1036	529.55
1036.5	648.91
1046.5	539.77
1047.5	658.82
1057	547.4
1058.5	668.32
1067.5	557.73
1069.5	678.59
1078.5	565.14
1080	689.45
1089.5	575.36
1090.5	701.73
1100.5	583.64
1097.5	707.17
1104.5	717.41
1111.5	594.14
1113	721.92
1121.5	729.82
1122.5	604.73
1132	739.75
1133.5	613.82
1142.5	748.86
1144.5	622.68
1153	760.85
1155.5	632.36
1163.5	769.64
1166.5	643.14
1173.5	779.67
1176	650.38
1182.5	792
1185.5	661.68
1192.5	801.32
1196.5	672.91
1203.5	810
1207.5	683.14
1213.5	820.56
1218	692
1223.5	831.55
1228	702.75
1233.5	840.67
1237.5	712.33
1242	849.94
1247.5	721.91
1251.5	864.09
1258.5	729.32
1262.5	865.18
1269.5	740.64
1273.5	866.14
1279	751
1283.5	870.94
1288.5	760.5
1293.5	881.95
1299.5	770.91
1304.5	891.32
1310.5	778.55
1314.5	899.56
1320.5	788.72
1324.5	909.59
1330.5	800.73
1335.5	918.45
1341.5	807.82
1345.5	929.33
1352.5	811.68
1355.5	939.5
1361.17	816.27
1366	949.65
1368.39	827.91
1375	961.88
1378.5	838.09
1384.5	970.32
1389.5	846.41
1395	977.65
1400.5	856.64
1405	993.16
1410.5	867.17
1415.5	1001.55
1420.5	876.64
1424	1008.17
1431.5	882.95
1432.5	1021.22
1442.5	893.14
1443.5	1030.27
1453.5	903.77
1454	1043.95
1464	912.1
1464	1054.85
1474.5	921.91
1474	1064.9
1484	1075.65
1485.5	933.82
1493	1083.81
1496.5	942.23
1502.5	1096.86
1506	948.75
1511.5	1106.64
1515.5	958.73
1520.5	1116.41
1523.5	965
1531.5	976.82
1531	1124.1
1541.5	1133.18
1542	986.5
1551.5	997.67
1551.5	1143.78
1561.5	1008.41
1561.5	1155.18
1572.5	1017.32
1570.5	1162.93
1579.5	1172.86
1582.5	1029.67
1590.5	1179.86
1591.5	1038.33
1600	1048.69
1601.5	1188.41
1609	1060.75
1612.5	1196.36
1619.5	1072.82
1623.5	1201.59
1628.5	1079.29
1634.5	1206.05
1637.5	1093
1645.5	1214.41
1647.5	1102.28
1656.5	1218.36
1657.5	1112.27
1667.5	1220.36
1665.5	1120.2
1673	1130.85
1678.5	1223.82
1683.5	1137.55
1689.5	1225.27
1692	1142
1700	1156.05
1700.5	1226.91
1710.5	1166.59
1711.5	1226.55
1721.5	1175
1722.5	1224.5
1730.5	1184.64
1733.5	1220.18
1737	1196.42
1740.17	1212.02
1741.5	1204

